episode,game,exploration,explored,safe,MA_explored,MA_safe,test
0,['100+49sin((2pi/17)t)+0e'],99.0,-11.3,-75.6,-11.3,-75.6,-402.4
1,['100+49sin((2pi/12)t)+0e'],98.0,-11.7,-3.2,-11.5,-39.4,-71.6
2,['100+49sin((2pi/7)t)+0e'],97.0,-2.4,18.9,-11.3,-3.2,268.2
3,['100+49sin((2pi/34)t)+0e'],96.1,-7.7,94.7,-9.5,7.8,268.5
4,['100+49sin((2pi/1)t)+0e'],95.1,-29.9,0.0,-11.3,0.0,0.0
5,['100+49sin((2pi/18)t)+0e'],94.1,4.9,74.1,-9.5,9.5,412.2
6,['100+49sin((2pi/24)t)+0e'],93.2,-11.7,74.5,-11.3,18.9,285.3
7,['100+49sin((2pi/19)t)+0e'],92.3,-12.1,91.7,-11.5,46.5,1065.2
8,['100+49sin((2pi/36)t)+0e'],91.4,-21.8,96.9,-11.7,74.1,704.4
9,['100+49sin((2pi/19)t)+0e'],90.4,4.0,91.3,-11.5,74.3,1313.4
10,['100+49sin((2pi/34)t)+0e'],89.5,-3.2,78.7,-11.3,74.5,207.1
11,['100+49sin((2pi/36)t)+0e'],88.6,-2.7,88.9,-9.5,76.6,233.5
12,['100+49sin((2pi/23)t)+0e'],87.8,-8.4,92.0,-8.4,78.7,402.3
13,['100+49sin((2pi/33)t)+0e'],86.9,-18.6,90.8,-9.9,83.8,779.7
14,['100+49sin((2pi/21)t)+0e'],86.0,-4.6,83.5,-8.4,83.5,513.0
15,['100+49sin((2pi/27)t)+0e'],85.1,7.6,92.1,-8.0,86.2,871.6
16,['100+49sin((2pi/22)t)+0e'],84.3,-39.4,89.3,-8.4,88.9,684.9
17,['100+49sin((2pi/10)t)+0e'],83.5,16.0,-17.8,-8.0,86.2,-232.6
18,['100+49sin((2pi/26)t)+0e'],82.6,-15.2,91.6,-8.4,88.9,352.8
19,['100+49sin((2pi/34)t)+0e'],81.8,-3.8,86.6,-8.0,87.7,231.4
20,['100+49sin((2pi/11)t)+0e'],81.0,-9.7,83.3,-8.4,86.6,761.5
21,['100+49sin((2pi/13)t)+0e'],80.2,5.3,-100.8,-8.0,85.0,-1075.8
22,['100+49sin((2pi/16)t)+0e'],79.4,-243162.6,48.6,-8.4,83.5,423.2
23,['100+49sin((2pi/22)t)+0e'],78.6,-24.8,96.0,-9.0,85.0,993.3
24,['100+49sin((2pi/23)t)+0e'],77.8,6.0,94.1,-8.4,86.6,387.6
25,['100+49sin((2pi/9)t)+0e'],77.0,28.2,-15.0,-8.0,85.0,-158.2
26,['100+49sin((2pi/2)t)+0e'],76.2,-12.1,94.4,-8.4,86.6,3920.1
27,['100+49sin((2pi/11)t)+0e'],75.5,-13.6,78.3,-9.0,85.0,661.8
28,['100+49sin((2pi/1)t)+0e'],74.7,-10.6,nan,-9.7,nan,0.0
29,['100+49sin((2pi/1)t)+0e'],74.0,-3.2,0.0,-9.0,nan,0.0
30,['100+49sin((2pi/25)t)+0e'],73.2,10.4,62.1,-8.4,nan,341.4
31,['100+49sin((2pi/18)t)+0e'],72.5,-37.2,98.1,-9.0,nan,1387.0
32,['100+49sin((2pi/34)t)+0e'],71.8,-9.6,93.8,-9.6,nan,508.0
33,['100+49sin((2pi/35)t)+0e'],71.1,0.3,94.6,-9.0,nan,527.0
34,['100+49sin((2pi/24)t)+0e'],70.3,-6.3,91.9,-8.4,nan,1035.9
35,['100+49sin((2pi/10)t)+0e'],69.6,18.9,87.1,-8.0,nan,1938.7
36,['100+49sin((2pi/35)t)+0e'],68.9,-98572.1,97.4,-8.4,nan,689.8
37,['100+49sin((2pi/8)t)+0e'],68.3,13.2,-96.9,-8.0,nan,-1820.7
38,['100+49sin((2pi/26)t)+0e'],67.6,-110107.4,88.8,-8.4,nan,820.5
39,['100+49sin((2pi/19)t)+0e'],66.9,22.6,93.9,-8.0,nan,1021.1
40,['100+49sin((2pi/23)t)+0e'],66.2,5.1,87.8,-7.7,nan,513.1
41,['100+49sin((2pi/2)t)+0e'],65.6,14.1,86.6,-7.0,nan,1489.4
42,['100+49sin((2pi/15)t)+0e'],64.9,-1.0,-73.0,-6.3,nan,-833.3
